지역구,5대범죄합계,cctv합계,5대범죄발생대비cctv개수,순위
강북구,8109,1890,429,1
송파구,13282,3197,415,2
마포구,12064,3571,338,3
중랑구,10282,3219,319,4
강서구,11405,3683,310,5
중구,9656,3231,299,6
강동구,9518,3421,278,7
광진구,9898,3667,270,8
영등포구,13749,5185,265,9
노원구,9600,3636,264,10
종로구,9029,3465,261,11
용산구,8575,3382,254,12
금천구,7593,3055,249,13
도봉구,4951,2019,245,14
동작구,7563,3412,222,15
동대문구,8886,4544,196,16
서초구,11281,6512,173,17
은평구,8766,5119,171,18
강남구,17668,10645,166,19
구로구,11274,7184,157,20
관악구,12327,8737,141,21
서대문구,6896,5008,138,22
양천구,8468,6282,135,23
성북구,7435,5916,126,24
성동구,6061,6238,97,25
