년도,지역구,합계
2017,종로구,1435
2017,중 구,1142
2017,용산구,1334
2017,성동구,2413
2017,광진구,1204
2017,동대문구,1805
2017,중랑구,1131
2017,성북구,1938
2017,강북구,443
2017,도봉구,710
2017,노원구,1389
2017,은평구,1680
2017,서대문구,1962
2017,마포구,1264
2017,양천구,2573
2017,강서구,1365
2017,구로구,2738
2017,금천구,948
2017,영등포구,1837
2017,동작구,1245
2017,관악구,3274
2017,서초구,2495
2017,강남구,4022
2017,송파구,908
2017,강동구,1200
2018,종로구,1520
2018,중 구,1528
2018,용산구,1459
2018,성동구,2803
2018,광진구,1669
2018,동대문구,2002
2018,중랑구,1304
2018,성북구,2805
2018,강북구,835
2018,도봉구,932
2018,노원구,1605
2018,은평구,2315
2018,서대문구,2199
2018,마포구,1607
2018,양천구,2713
2018,강서구,1624
2018,구로구,3226
2018,금천구,1488
2018,영등포구,2495
2018,동작구,1545
2018,관악구,3937
2018,서초구,2923
2018,강남구,4770
2018,송파구,1450
2018,강동구,1577
2019,종로구,1529
2019,중 구,1683
2019,용산구,1766
2019,성동구,3065
2019,광진구,2381
2019,동대문구,2211
2019,중랑구,2353
2019,성북구,3519
2019,강북구,1835
2019,도봉구,1130
2019,노원구,1925
2019,은평구,3372
2019,서대문구,2542
2019,마포구,2101
2019,양천구,2987
2019,강서구,2081
2019,구로구,3660
2019,금천구,1857
2019,영등포구,2560
2019,동작구,1867
2019,관악구,4577
2019,서초구,3281
2019,강남구,5559
2019,송파구,2518
2019,강동구,1933
