지역구,기타,사무,상가,주거,주거비율
강남구,1383,1724,8137,13348,54.27781392322707
강동구,921,209,3279,15929,78.32136886616186
강북구,763,84,3634,22677,83.50025775093894
강서구,1668,439,3985,20000,76.65184730952016
관악구,1206,493,5570,25181,77.59938366718028
광진구,832,218,3919,20344,80.36977047366966
구로구,1363,232,3575,17947,77.63550633732751
금천구,1403,184,2163,11806,75.89354589868861
노원구,1111,85,2718,9631,71.10372831303063
도봉구,712,113,2470,12524,79.17061761173272
동대문구,1090,263,6472,22795,74.44480731548008
동작구,859,125,3784,21815,82.0637249369898
마포구,1072,476,6461,17982,69.18548728405986
서대문구,956,136,4292,18327,77.29323942473957
서초구,1023,920,4838,12282,64.42847400723916
성동구,1456,206,4066,14012,70.98277608915907
성북구,1307,143,5966,29178,79.73438268568617
송파구,1240,416,4713,17953,73.81383109941618
양천구,731,155,2898,14302,79.07773968815658
영등포구,1458,624,7225,19145,67.28876704625334
용산구,1058,222,5086,19112,75.01373734202058
은평구,1212,214,4474,27116,82.12987642355222
종로구,1797,393,8044,17138,62.61142773637294
중구,1511,687,8347,10384,49.615366238234024
중랑구,685,108,4192,22942,82.14989078669387
