ID,기간코드,경찰서명,인원수
0,17,서울중부경찰서,526
1,17,서울종로경찰서,655
2,17,서울남대문경찰서,503
3,17,서울서대문경찰서,682
4,17,서울혜화경찰서,485
5,17,서울용산경찰서,711
6,17,서울성북경찰서,557
7,17,서울동대문경찰서,817
8,17,서울마포경찰서,858
9,17,서울영등포경찰서,971
10,18,서울중부경찰서,528
11,18,서울종로경찰서,657
12,18,서울남대문경찰서,512
13,18,서울서대문경찰서,688
14,18,서울혜화경찰서,493
15,18,서울용산경찰서,701
16,18,서울성북경찰서,550
17,18,서울동대문경찰서,823
18,18,서울마포경찰서,884
19,18,서울영등포경찰서,980
20,19,서울중부경찰서,533
21,19,서울종로경찰서,662
22,19,서울남대문경찰서,507
23,19,서울서대문경찰서,674
24,19,서울혜화경찰서,493
25,19,서울용산경찰서,712
26,19,서울성북경찰서,544
27,19,서울동대문경찰서,826
28,19,서울마포경찰서,883
29,19,서울영등포경찰서,990
