ID,지역코드,기간코드,평균지가
0,111261,18,10627600.0
1,111261,17,4840000.0
2,111261,19,9618400.0
3,111274,18,3663200.0
4,111274,17,4905000.0
5,111274,19,5049600.0
6,111291,18,1259760.0
7,111291,19,3135340.0
8,111291,17,1960000.0
9,111212,18,1596760.0
10,111212,19,5595400.0
11,111212,17,164480.0
12,111251,17,2375300.0
13,111251,18,156260.0
14,111251,19,2182760.0
15,111141,19,3048400.0
16,111141,17,2327300.0
17,111141,18,2413000.0
18,111221,17,3345600.0
19,111221,18,4371600.0
20,111221,19,1732000.0
21,111281,17,2942600.0
22,111281,18,1230720.0
23,111281,19,2383360.0
24,111311,17,633020.0
25,111311,18,2162620.0
26,111311,19,904860.0
27,111171,19,830380.0
28,111171,18,1174540.0
29,111171,17,2289200.0
30,111152,17,2249000.0
31,111152,18,4029400.0
32,111152,19,2605200.0
33,111241,19,3516400.0
34,111241,18,3953600.0
35,111241,17,3785600.0
36,111201,17,1883200.0
37,111201,19,8458200.0
38,111201,18,2102400.0
39,111191,18,5750200.0
40,111191,17,7126200.0
41,111191,19,3577180.0
42,111262,18,10054840.0
43,111262,17,230540.0
44,111262,19,5090000.0
45,111142,19,7809400.0
46,111142,18,3596400.0
47,111142,17,3349400.0
48,111161,18,3031020.0
49,111161,19,4271200.0
50,111161,17,1117560.0
51,111273,19,7108800.0
52,111273,18,6173400.0
53,111273,17,1451000.0
54,111301,17,1029340.0
55,111301,18,4195000.0
56,111301,19,2502600.0
57,111231,17,3604000.0
58,111231,19,1817640.0
59,111231,18,1184400.0
60,111131,19,4809600.0
61,111131,17,2895960.0
62,111131,18,3888400.0
63,111181,18,1750740.0
64,111181,17,3396800.0
65,111181,19,2994800.0
66,111123,17,2874800.0
67,111123,18,1172120.0
68,111123,19,3545400.0
69,111121,18,12822000.0
70,111121,19,25790000.0
71,111121,17,14966000.0
72,111151,18,860640.0
73,111151,19,2302200.0
74,111151,17,763200.0
