ID,기간코드,지역코드,남녀성비,남자인구수,여자인구수
0,17,111123,96.4,"75,967","78,803"
1,17,111121,98.1,"62,253","63,456"
2,17,111131,93.7,"110,878","118,283"
3,17,111142,97.4,"150,368","154,440"
4,17,111141,95.2,"174,414","183,289"
5,17,111152,100.0,"175,324","175,323"
6,17,111151,99.2,"203,325","204,901"
7,17,111161,95.2,"216,556","227,499"
8,17,111291,96.0,"158,918","165,561"
9,17,111171,96.2,"168,759","175,407"
10,17,111311,94.6,"269,508","284,895"
11,17,111181,94.4,"236,353","250,441"
12,17,111191,93.5,"151,144","161,656"
13,17,111201,91.3,"178,939","195,976"
14,17,111301,97.4,"232,518","238,636"
15,17,111212,94.9,"292,989","308,702"
16,17,111221,98.7,"204,003","206,739"
17,17,111281,103.3,"119,497","115,657"
18,17,111231,99.7,"183,975","184,575"
19,17,111241,95.2,"193,255","202,962"
20,17,111251,101.6,"253,661","249,636"
21,17,111262,91.9,"211,236","229,866"
22,17,111261,92.0,"266,442","289,722"
23,17,111273,94.7,"323,147","341,349"
24,17,111274,98.8,"216,777","219,446"
25,18,111123,95.6,"74,825","78,240"
26,18,111121,97.1,"61,947","63,778"
27,18,111131,93.5,"110,640","118,359"
28,18,111142,96.5,"151,359","156,862"
29,18,111141,94.5,"172,794","182,765"
30,18,111152,99.5,"173,567","174,485"
31,18,111151,98.8,"200,419","202,790"
32,18,111161,94.6,"211,904","223,964"
33,18,111291,95.7,"156,071","163,093"
34,18,111171,95.9,"166,160","173,253"
35,18,111311,94.3,"263,919","279,833"
36,18,111181,93.7,"233,702","249,495"
37,18,111191,93.0,"149,569","160,744"
38,18,111201,90.6,"178,240","196,837"
39,18,111301,97.1,"228,634","235,551"
40,18,111212,94.5,"290,079","306,870"
41,18,111221,98.2,"200,417","204,080"
42,18,111281,103.4,"118,915","115,002"
43,18,111231,99.3,"183,224","184,554"
44,18,111241,94.5,"192,533","203,670"
45,18,111251,100.9,"252,160","249,797"
46,18,111262,91.9,"207,868","226,083"
47,18,111261,91.8,"259,611","282,753"
48,18,111273,94.3,"323,526","343,109"
49,18,111274,98.2,"211,816","215,757"
50,19,111123,95.1,"73,746","77,544"
51,19,111121,96.3,"61,910","64,261"
52,19,111131,93.3,"110,356","118,314"
53,19,111142,95.9,"147,273","153,616"
54,19,111141,94.0,"170,262","181,088"
55,19,111152,98.9,"172,113","174,081"
56,19,111151,98.5,"196,959","200,056"
57,19,111161,94.0,"214,437","228,213"
58,19,111291,95.3,"153,235","160,719"
59,19,111171,95.7,"163,051","170,311"
60,19,111311,93.8,"257,923","274,982"
61,19,111181,93.2,"231,528","248,504"
62,19,111191,92.5,"148,663","160,734"
63,19,111201,89.7,"176,891","197,144"
64,19,111301,96.7,"225,186","232,979"
65,19,111212,93.9,"286,563","305,233"
66,19,111221,97.7,"200,987","205,677"
67,19,111281,103.1,"118,209","114,601"
68,19,111231,98.5,"182,438","185,240"
69,19,111241,94.1,"191,976","203,987"
70,19,111251,100.8,"251,009","249,085"
71,19,111262,91.7,"206,039","224,787"
72,19,111261,91.7,"260,806","284,363"
73,19,111273,93.8,"327,164","348,797"
74,19,111274,97.6,"215,335","220,732"
