ID,기간코드,지역코드,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
0,17,111251,49787,556,7359,12378,7023,3921,2354,1981,1728,2269,2410,2158,2052,1917,1050,631
1,17,111212,36703,156,2512,5753,4320,3146,2234,2030,1850,2710,2924,2444,2194,2017,1422,991
2,17,111261,36259,279,2188,5814,6138,4803,3016,2229,1614,1786,2014,1823,1565,1321,920,749
3,17,111273,31947,141,1540,4504,4559,3562,2447,2163,1652,2242,2316,1922,1696,1394,1064,745
4,17,111201,30126,367,3618,5474,4358,2973,2128,1710,1200,1324,1397,1373,1386,1357,938,523
5,17,111161,29683,977,6225,3778,2157,1574,1355,1444,1247,1660,1874,1740,1874,1845,1207,726
6,17,111311,28525,682,3028,1696,1326,1378,1419,1601,1534,2297,2743,2651,2608,2681,1794,1087
7,17,111141,28236,453,3885,5203,3667,2491,1659,1537,1307,1619,1651,1286,1174,1145,707,452
8,17,111241,27966,618,3928,5061,3343,2023,1444,1293,1074,1477,1621,1627,1523,1453,934,547
9,17,111152,26392,976,5103,3486,2077,1547,1181,1177,1075,1515,1668,1654,1696,1658,1002,577
10,17,111181,25808,108,1301,2482,2276,1999,1709,1716,1530,2163,2322,2120,2169,2063,1213,637
11,17,111231,25198,112,1902,4667,3320,2037,1540,1360,1247,1544,1553,1495,1398,1403,1034,586
12,17,111191,24527,545,5157,3814,2017,1432,1141,1195,933,1227,1368,1277,1389,1513,994,525
13,17,111151,23543,115,1209,2217,1954,1649,1454,1596,1674,2253,2213,1975,1866,1727,1004,637
14,17,111262,22219,335,1636,3360,3188,2430,1815,1543,1092,1253,1406,1163,1056,857,617,468
15,17,111221,21618,103,1423,3034,2252,1672,1327,1245,1149,1663,1775,1552,1501,1445,957,520
16,17,111291,21273,262,1616,1787,1355,1206,1147,1348,1327,1873,1960,1998,1923,1835,1043,593
17,17,111274,20986,91,989,2373,2072,1760,1365,1361,1266,1901,1997,1693,1411,1259,858,590
18,17,111142,19103,387,2415,2733,1924,1469,1211,1134,910,1157,1216,1125,1128,1159,717,418
19,17,111131,17900,196,2116,2485,1989,1620,1198,1195,855,1012,985,928,985,1024,785,527
20,17,111301,17836,71,623,1382,1357,1239,1181,1249,1170,1670,1831,1580,1417,1386,1009,671
21,17,111171,16376,170,1016,982,871,892,931,1120,1024,1570,1617,1479,1463,1557,1057,627
22,17,111281,14623,55,873,1859,1314,928,819,966,1026,1315,1333,1163,1025,1014,598,335
23,17,111123,12044,316,1854,1545,1178,829,694,741,609,713,715,649,693,711,462,335
24,17,111121,10338,350,1302,1250,934,770,615,641,536,669,659,632,603,694,405,278
25,18,111251,53288,558,8438,13906,7294,4142,2285,2028,1667,2230,2502,2191,2197,2016,1160,674
26,18,111212,39231,151,2571,6665,4600,3348,2335,2175,1858,2662,3257,2550,2366,2106,1542,1045
27,18,111261,36009,243,2176,5833,5922,4868,2917,2201,1579,1631,2039,1823,1631,1355,978,813
28,18,111273,34711,127,1784,5282,4904,3958,2501,2290,1721,2223,2626,2109,1806,1470,1090,820
29,18,111201,31845,421,3879,6080,4499,3157,2158,1806,1262,1328,1475,1379,1434,1414,984,569
30,18,111161,30359,1106,6516,3823,2119,1579,1240,1502,1219,1578,1984,1763,1943,1894,1312,781
31,18,111311,29606,490,3166,1868,1321,1458,1400,1630,1623,2310,2928,2742,2749,2751,1958,1212
32,18,111241,29420,609,4365,5499,3370,2120,1413,1368,1067,1481,1751,1653,1645,1481,1023,575
33,18,111141,29280,428,4087,5700,3708,2570,1579,1547,1281,1646,1724,1351,1233,1169,780,477
34,18,111152,27495,1151,5378,3657,2083,1579,1195,1237,1129,1479,1792,1653,1739,1715,1072,636
35,18,111181,27194,146,1383,2901,2385,2068,1719,1774,1579,2091,2549,2161,2249,2101,1352,736
36,18,111231,26387,104,2072,5194,3552,2213,1468,1456,1176,1468,1644,1480,1422,1442,1035,661
37,18,111191,25242,565,5403,3835,2061,1528,1131,1197,926,1223,1519,1283,1432,1466,1080,593
38,18,111151,24496,104,1149,2456,2027,1737,1354,1608,1716,2238,2450,2018,1998,1850,1096,695
39,18,111262,23055,294,1661,3459,3218,2662,1777,1650,1197,1254,1469,1238,1125,930,635,486
40,18,111291,22364,265,1957,2004,1348,1228,1070,1361,1376,1839,2140,2036,1999,1961,1137,643
41,18,111221,22264,144,1480,3263,2212,1650,1266,1294,1097,1623,1872,1652,1576,1495,1043,597
42,18,111274,21722,80,1091,2588,2139,1774,1357,1399,1210,1898,2145,1728,1530,1276,885,622
43,18,111142,20397,444,2666,2969,2027,1587,1183,1216,987,1204,1317,1160,1189,1219,794,435
44,18,111301,18477,72,634,1462,1378,1326,1065,1219,1220,1574,1962,1709,1555,1456,1083,762
45,18,111131,18446,247,2137,2668,2096,1724,1195,1204,864,944,1057,891,994,1015,836,574
46,18,111171,17262,153,1036,1051,899,937,896,1167,1124,1542,1866,1533,1543,1653,1146,716
47,18,111281,15485,57,1023,2235,1370,988,830,938,1003,1305,1374,1224,1077,1078,622,361
48,18,111123,12691,494,1980,1748,1146,904,676,770,670,711,707,619,702,707,509,348
49,18,111121,10751,405,1365,1346,1027,801,607,625,543,659,678,634,603,681,467,310
50,19,111251,57263,557,9296,15689,7730,4151,2363,2087,1778,2131,2638,2273,2319,2118,1353,780
51,19,111212,43142,192,3037,7963,5221,3472,2423,2249,1989,2590,3479,2803,2582,2236,1701,1205
52,19,111261,37886,331,2306,6161,6162,4935,3098,2363,1685,1650,2188,1926,1762,1408,1016,895
53,19,111273,37825,146,1928,6131,5328,4244,2719,2348,1843,2265,2829,2272,2090,1628,1138,916
54,19,111201,33577,298,4335,6696,4721,3264,2153,1928,1305,1303,1547,1327,1525,1450,1070,655
55,19,111161,31701,908,6855,4257,2197,1631,1272,1523,1271,1632,2061,1796,2033,1933,1427,905
56,19,111241,31342,506,4679,6339,3557,2210,1397,1343,1199,1346,1874,1742,1783,1542,1119,706
57,19,111311,30809,420,3088,2023,1393,1464,1360,1666,1722,2246,3125,2868,2980,2926,2131,1397
58,19,111141,30679,364,4281,6075,3974,2669,1637,1548,1352,1612,1822,1401,1300,1221,849,574
59,19,111181,29605,137,1737,3603,2617,2264,1701,1857,1606,2109,2735,2319,2341,2204,1521,854
60,19,111152,28976,941,6199,4063,2149,1582,1223,1230,1109,1450,1884,1672,1795,1774,1204,701
61,19,111231,28917,139,2338,6251,3999,2403,1547,1482,1176,1433,1759,1522,1524,1519,1090,735
62,19,111191,26288,530,5587,4166,2096,1524,1138,1231,1044,1219,1558,1355,1472,1507,1182,679
63,19,111151,26208,111,1342,2937,2218,1769,1380,1583,1701,2266,2708,2143,2123,1886,1248,793
64,19,111221,24285,126,1785,3824,2485,1731,1249,1359,1200,1582,2040,1763,1767,1541,1165,668
65,19,111262,23875,294,1699,3608,3401,2663,1812,1702,1244,1226,1556,1282,1191,979,662,556
66,19,111274,23514,89,1261,3105,2330,1911,1429,1439,1307,1756,2311,1868,1667,1368,997,676
67,19,111291,23274,224,2120,2207,1400,1201,1065,1349,1431,1788,2275,2067,2155,2039,1261,692
68,19,111142,20963,347,2693,3182,2132,1623,1186,1268,983,1177,1331,1199,1242,1210,884,506
69,19,111301,19687,77,778,1729,1498,1308,1145,1258,1171,1545,2097,1823,1734,1537,1176,811
70,19,111131,18944,192,2119,2817,2238,1801,1231,1205,918,917,1083,925,1012,1025,873,588
71,19,111171,18257,110,1141,1294,972,970,901,1174,1162,1514,1968,1617,1670,1683,1262,819
72,19,111281,17079,83,1237,2762,1622,1081,803,995,1033,1302,1506,1280,1143,1122,703,407
73,19,111123,12729,349,2044,1725,1181,913,678,760,641,725,755,639,704,727,534,354
74,19,111121,11401,325,1444,1482,1158,874,662,648,578,646,752,634,658,678,494,368
