,년도,지역구,전체인구,등록_외국인
2,2017,합계,"10,124,579","267,153"
3,2017,종로구,"164,257","9,487"
4,2017,중구,"134,593","8,884"
5,2017,용산구,"244,444","15,283"
6,2017,성동구,"312,711","7,903"
7,2017,광진구,"372,298","14,595"
8,2017,동대문구,"366,011","15,364"
9,2017,중랑구,"412,780","4,554"
10,2017,성북구,"455,407","11,352"
11,2017,강북구,"328,002","3,523"
12,2017,도봉구,"346,234","2,068"
13,2017,노원구,"558,075","3,672"
14,2017,은평구,"491,202","4,408"
15,2017,서대문구,"325,028","12,228"
16,2017,마포구,"385,783","10,868"
17,2017,양천구,"475,018","3,864"
18,2017,강서구,"608,255","6,564"
19,2017,구로구,"441,559","30,817"
20,2017,금천구,"253,491","18,337"
21,2017,영등포구,"402,024","33,474"
22,2017,동작구,"408,493","12,276"
23,2017,관악구,"520,929","17,632"
24,2017,서초구,"445,401","4,299"
25,2017,강남구,"561,052","4,888"
26,2017,송파구,"671,173","6,677"
27,2017,강동구,"440,359","4,136"
28,2018,합계,"10,049,607","283,984"
29,2018,종로구,"163,026","9,961"
30,2018,중구,"135,633","9,908"
31,2018,용산구,"245,090","16,091"
32,2018,성동구,"316,463","8,242"
33,2018,광진구,"371,063","15,504"
34,2018,동대문구,"364,338","16,286"
35,2018,중랑구,"408,147","4,938"
36,2018,성북구,"447,687","11,819"
37,2018,강북구,"322,915","3,751"
38,2018,도봉구,"341,649","2,236"
39,2018,노원구,"548,160","4,408"
40,2018,은평구,"487,666","4,469"
41,2018,서대문구,"323,080","12,767"
42,2018,마포구,"386,359","11,282"
43,2018,양천구,"468,145","3,960"
44,2018,강서구,"603,611","6,662"
45,2018,구로구,"438,486","33,989"
46,2018,금천구,"254,021","20,104"
47,2018,영등포구,"403,600","35,822"
48,2018,동작구,"409,385","13,182"
49,2018,관악구,"520,040","18,083"
50,2018,서초구,"438,163","4,212"
51,2018,강남구,"547,453","5,089"
52,2018,송파구,"673,507","6,872"
53,2018,강동구,"431,920","4,347"
54,2019,합계,"10,010,983","281,876"
55,2019,종로구,"161,869","10,579"
56,2019,중구,"136,488","10,317"
57,2019,용산구,"245,185","16,515"
58,2019,성동구,"308,979","8,090"
59,2019,광진구,"366,972","15,622"
60,2019,동대문구,"363,023","16,829"
61,2019,중랑구,"402,024","5,009"
62,2019,성북구,"454,744","12,094"
63,2019,강북구,"317,695","3,741"
64,2019,도봉구,"335,631","2,269"
65,2019,노원구,"537,303","4,398"
66,2019,은평구,"484,546","4,514"
67,2019,서대문구,"323,171","13,774"
68,2019,마포구,"385,925","11,890"
69,2019,양천구,"462,285","4,120"
70,2019,강서구,"598,273","6,477"
71,2019,구로구,"439,371","32,707"
72,2019,금천구,"251,820","19,010"
73,2019,영등포구,"400,986","33,308"
74,2019,동작구,"408,912","12,949"
75,2019,관악구,"517,334","17,240"
76,2019,서초구,"435,107","4,281"
77,2019,강남구,"550,209","5,040"
78,2019,송파구,"682,741","6,780"
79,2019,강동구,"440,390","4,323"
80,2020,합계,"9,911,088","242,623"
81,2020,종로구,"158,996","9,612"
82,2020,중구,"134,635","9,395"
83,2020,용산구,"244,645","14,605"
84,2020,성동구,"300,505","6,949"
85,2020,광진구,"360,109","13,427"
86,2020,동대문구,"357,014","14,177"
87,2020,중랑구,"399,562","4,860"
88,2020,성북구,"447,056","9,903"
89,2020,강북구,"311,569","3,514"
90,2020,도봉구,"327,361","2,104"
91,2020,노원구,"527,032","3,995"
92,2020,은평구,"484,043","4,208"
93,2020,서대문구,"322,952","10,779"
94,2020,마포구,"381,858","9,968"
95,2020,양천구,"457,781","3,530"
96,2020,강서구,"585,901","5,716"
97,2020,구로구,"432,488","28,080"
98,2020,금천구,"247,835","16,102"
99,2020,영등포구,"407,367","27,887"
100,2020,동작구,"401,572","10,352"
101,2020,관악구,"509,803","14,743"
102,2020,서초구,"429,025","3,899"
103,2020,강남구,"544,055","4,824"
104,2020,송파구,"673,926","5,966"
105,2020,강동구,"463,998","4,028"
