,Unnamed: 0,지역구,년도,경찰관수,치안시설총수,발생합계,살인발생,강도발생,강간강제추행발생,절도발생,폭력발생,검거합계,살인검거,강도검거,강간강제추행검거,절도검거,폭력검거,검거율/발생율,강도검거율,절도검거율,폭력검거율,살인검거율,강간강제추행검거율,랭크
0,0,강남구,2018,1999.0,29.33333333333333,7512.333333333333,7.333333333333333,13.0,624.3333333333334,3034.6666666666665,3833.0,5195.333333333333,7.666666666666667,13.333333333333334,527.0,1346.3333333333333,3301.0,0.6916177383593639,1.038095238095238,0.4437034106858082,0.8612454325586644,0.9666666666666668,0.844214651224536,8
1,1,강동구,2018,1012.0,21.33333333333333,4064.6666666666665,4.666666666666667,10.666666666666666,174.0,1603.3333333333333,2272.0,2996.333333333333,4.666666666666667,11.0,155.66666666666666,873.6666666666666,1951.3333333333333,0.736464283604254,1.0444444444444445,0.543849053598369,0.8586415983945527,1.0111111111111113,0.8949485737447435,15
2,2,강북구,2018,893.6666666666666,18.666666666666668,3556.0,7.333333333333333,5.666666666666667,190.66666666666663,1118.3333333333333,2234.0,2863.333333333333,6.666666666666667,4.666666666666667,144.33333333333334,634.0,2073.6666666666665,0.8060104453730083,0.7936507936507936,0.5695918587829193,0.9290382451467174,0.9166666666666666,0.7591752219411795,24
3,3,강서구,2018,1242.6666666666667,16.0,4896.0,10.0,4.333333333333333,297.0,1887.3333333333333,2697.333333333333,3646.3333333333335,9.666666666666666,4.333333333333333,252.0,1057.3333333333333,2323.0,0.7445648616722936,1.111111111111111,0.5614947113228063,0.8607783711915055,0.981060606060606,0.8516667779006991,17
4,4,관악구,2018,1194.0,25.33333333333333,5293.0,10.0,9.0,379.6666666666667,2071.333333333333,2823.0,3872.3333333333335,8.666666666666666,9.666666666666666,321.0,1087.3333333333333,2445.6666666666665,0.7312552756457394,1.0523809523809524,0.5265448967058491,0.8675769328107297,0.8814102564102564,0.8465994827210487,14
5,5,광진구,2018,952.3333333333334,16.0,4190.666666666667,5.666666666666667,7.0,254.33333333333331,1954.6666666666667,1969.0,2964.6666666666665,5.0,4.666666666666667,201.66666666666663,1050.0,1703.3333333333333,0.707459450599215,0.6495726495726496,0.5381065606024339,0.8641383154661663,0.9325396825396824,0.7935493653006076,11
6,6,구로구,2018,1007.0,21.33333333333333,4804.0,8.333333333333334,6.666666666666667,268.0,1786.0,2735.0,3345.6666666666665,8.333333333333334,6.333333333333333,175.66666666666666,873.6666666666666,2281.6666666666665,0.696454324683856,1.0277777777777777,0.488593053694789,0.8344886384695943,1.0142857142857142,0.6686392546226347,9
7,7,금천구,2018,771.0,16.0,3221.0,5.666666666666667,7.333333333333333,197.66666666666663,1155.3333333333333,1855.0,2494.0,5.666666666666667,5.666666666666667,174.33333333333334,644.6666666666666,1663.6666666666667,0.7739568549218648,0.8190476190476191,0.5581610118571373,0.8967669474317694,1.0,0.8772875816993464,21
8,8,노원구,2018,1087.3333333333333,23.33333333333333,4123.0,4.333333333333333,5.666666666666667,186.0,1486.0,2441.0,2912.0,4.0,5.0,162.0,674.3333333333334,2066.6666666666665,0.7058952523493738,0.925925925925926,0.4527320686277034,0.8463547774499055,0.9333333333333332,0.8705197802015373,10
9,9,도봉구,2018,754.3333333333334,12.0,2119.333333333333,1.0,4.333333333333333,102.33333333333331,734.6666666666666,1277.0,1608.3333333333333,1.0,3.6666666666666665,105.0,414.0,1084.6666666666667,0.7603706591367793,0.8666666666666667,0.5697861812790511,0.849587858036382,1.0,1.021129894359983,20
10,10,동대문구,2018,1097.3333333333333,26.666666666666668,3782.3333333333335,6.333333333333333,6.0,159.33333333333334,1508.3333333333333,2102.333333333333,3020.0,6.0,6.0,134.66666666666666,924.6666666666666,1948.6666666666667,0.7978138257336168,1.1222222222222222,0.6134267663218421,0.9268105182415426,0.9696969696969696,0.8422115241080759,22
11,11,동작구,2018,898.6666666666666,22.666666666666668,3276.6666666666665,2.6666666666666665,5.0,311.6666666666667,1235.0,1722.3333333333333,2175.6666666666665,2.0,5.666666666666667,145.66666666666666,568.0,1454.3333333333333,0.6643516856514959,1.0952380952380951,0.4606291796388047,0.8447776261930819,0.8333333333333334,0.4699459736810334,1
12,12,마포구,2018,1169.3333333333333,21.33333333333333,5097.333333333333,3.6666666666666665,5.333333333333333,489.3333333333333,2098.333333333333,2500.6666666666665,3412.6666666666665,3.6666666666666665,5.666666666666667,414.0,878.6666666666666,2110.6666666666665,0.6692301749263184,1.0555555555555556,0.4190075651719618,0.8444839953958487,1.0,0.8458778482499413,4
13,13,서대문구,2018,906.0,14.666666666666666,2952.6666666666665,3.6666666666666665,3.0,194.33333333333331,1172.6666666666667,1579.0,2111.6666666666665,3.0,3.333333333333333,174.66666666666666,634.6666666666666,1296.0,0.714792143424286,1.3333333333333333,0.5415989047495198,0.8204326212628511,0.7666666666666666,0.8978384440385786,12
14,14,서초구,2018,1467.6666666666667,25.33333333333333,4992.0,6.333333333333333,8.333333333333334,518.6666666666666,1977.6666666666667,2481.0,3390.0,6.666666666666667,5.666666666666667,336.6666666666667,930.3333333333334,2110.6666666666665,0.6792374606119395,0.7509157509157509,0.4686853484183668,0.8512182016742385,1.037037037037037,0.6470571981210279,5
15,15,성동구,2018,862.0,20.0,2578.6666666666665,3.0,5.666666666666667,130.33333333333334,1013.6666666666666,1426.0,1885.3333333333333,2.6666666666666665,7.0,101.33333333333331,513.6666666666666,1260.6666666666667,0.7310018587493982,1.2370370370370372,0.5069404873150322,0.8842712030036025,0.9444444444444444,0.778119541277436,13
16,16,성북구,2018,1292.6666666666667,32.0,3117.6666666666665,5.666666666666667,4.0,177.33333333333334,1196.6666666666667,1734.0,2359.6666666666665,5.333333333333333,4.333333333333333,134.66666666666666,689.6666666666666,1525.6666666666667,0.7592858914340405,1.3333333333333333,0.5813996205367068,0.881225641459712,0.9523809523809524,0.7594100533430582,19
17,17,송파구,2018,1398.0,26.666666666666668,5693.666666666667,6.0,5.666666666666667,290.0,2347.333333333333,3044.6666666666665,3906.6666666666665,6.666666666666667,7.0,242.0,1025.3333333333333,2625.6666666666665,0.6861258049839263,1.7777777777777777,0.4371143289189959,0.8621515372980865,1.1142857142857143,0.8349250309201767,7
18,18,양천구,2018,1034.6666666666667,20.666666666666668,3537.0,3.6666666666666665,3.0,128.33333333333334,1483.6666666666667,1918.3333333333333,2414.333333333333,3.6666666666666665,6.0,115.0,678.6666666666666,1611.0,0.6818819359277296,1.7222222222222223,0.4571610601784653,0.8411089224562258,1.0555555555555556,0.8969825782646735,6
19,19,영등포구,2018,1310.3333333333333,20.0,5876.333333333333,14.0,5.333333333333333,400.6666666666667,2335.0,3121.333333333333,3907.0,12.666666666666666,4.666666666666667,257.6666666666667,1080.0,2552.0,0.6648006715070287,0.9166666666666666,0.4628212159668356,0.8175148982399203,0.9163398692810456,0.6470086505159353,3
20,20,용산구,2018,945.3333333333334,16.0,3594.6666666666665,1.6666666666666667,3.6666666666666665,310.0,1147.0,2132.333333333333,2696.6666666666665,1.6666666666666667,3.333333333333333,270.3333333333333,564.0,1857.3333333333333,0.7522631117231019,0.9333333333333332,0.4953012134776252,0.8724462317723144,1.0,0.8720475895579183,18
21,21,은평구,2018,1237.3333333333333,26.666666666666668,3784.3333333333335,5.666666666666667,2.0,204.0,1410.0,2162.6666666666665,3023.333333333333,5.666666666666667,2.0,181.33333333333331,909.0,1925.3333333333333,0.7988655719150909,1.0,0.6453915403516032,0.889853527282798,1.0,0.8866915577087525,23
22,22,종로구,2018,1533.3333333333333,30.666666666666668,3864.3333333333335,5.666666666666667,6.666666666666667,242.33333333333331,1547.3333333333333,2062.333333333333,4155.666666666667,7.0,10.0,1218.3333333333333,981.0,1939.3333333333333,1.074853897584218,1.6587301587301588,0.6365008128899575,0.9398438119833992,1.2341269841269842,5.014855208513364,25
23,23,중구,2018,1383.0,24.0,4180.333333333333,1.6666666666666667,8.666666666666666,223.0,1967.6666666666667,1979.3333333333333,2778.0,1.5,8.333333333333334,126.33333333333331,923.6666666666666,1718.6666666666667,0.6647312189489427,0.9444444444444444,0.4689795185853536,0.8680743114543062,0.75,0.5677838599186914,2
24,24,중랑구,2018,1014.3333333333334,22.666666666666668,4375.666666666667,6.333333333333333,3.333333333333333,161.33333333333334,1575.0,2629.6666666666665,3250.6666666666665,6.666666666666667,4.0,132.33333333333334,865.6666666666666,2242.0,0.7429026035232488,1.1944444444444444,0.5498001638760318,0.8528386722263058,1.0833333333333333,0.8177171104370297,16
