0,19,111311,525648,560838,486834,495530,547160,225552,61246
1,19,111191,411521,429216,396103,421127,404659,221025,104248
2,18,111311,534523,573255,492938,502049,557299,238774,65213
3,19,111171,285082,309150,257350,264568,299734,138343,40075
4,18,111131,328479,364701,287681,355906,308629,206633,101345
5,18,111212,568327,604706,531389,540705,587611,266577,65955
6,19,111131,325658,358669,289521,351826,306967,198216,95850
7,19,111261,851878,1047966,678469,1005556,742108,612055,297018
8,18,111301,405548,437437,369614,378942,424234,196049,64485
9,19,111121,365234,510684,245030,473655,287790,326327,204494
10,18,111151,370736,409170,328084,338841,393223,170281,41149
11,18,111123,357385,489711,257275,449843,291070,313043,189115
12,18,111221,434505,450150,419697,428217,438655,221714,75543
13,19,111273,781905,806094,763797,786327,778747,404925,121163
14,18,111142,368086,384607,352437,375332,362624,209648,99311
15,18,111291,312569,345316,278692,286038,331270,137845,47660
16,19,111151,361735,396794,322248,332263,382786,158128,38415
17,18,111231,531809,598418,464355,584531,493744,360100,170761
18,19,111301,398626,427004,365320,374188,416081,187492,61703
19,18,111262,629992,740246,517038,719165,565821,443974,209165
20,18,111201,514381,557823,472459,534782,499397,295946,137863
21,19,111281,238993,258613,221095,254012,228265,148742,48534
22,19,111241,421077,450924,387158,395587,439284,181334,72726
23,18,111181,455552,506554,399014,412427,485993,188958,37476
24,19,111123,339373,464712,247307,425654,277743,289386,173710
25,19,111141,405280,427362,380867,389506,416547,190608,69177
26,18,111251,526441,588811,459511,474373,563211,229214,65046
27,18,111191,418592,436334,403069,425978,412995,231186,110677
28,19,111201,511132,550503,472574,532835,495630,290716,132824
29,18,111121,376548,523996,253316,486856,297483,339955,215150
30,18,111281,243654,265400,223953,260423,231491,155629,52167
31,18,111273,775496,802846,756424,778603,772665,412945,124725
32,19,111291,304014,334068,272380,279420,321582,155921,44729
33,18,111141,417179,441063,392324,401146,428298,203799,74570
34,19,111231,514583,578687,452681,565356,478316,342281,161253
35,18,111171,300143,327230,269552,277485,316090,148161,44275
36,18,111274,495728,531202,455112,465405,516997,229051,47819
37,19,111181,445016,493021,391407,403975,474330,176270,35591
38,19,111212,556005,587252,524513,532254,572970,252040,63723
39,18,111161,460168,490604,429760,436907,476423,204373,83101
40,19,111262,616147,724583,509442,702581,554409,424708,197889
41,19,111221,425341,437984,412606,420041,429127,211623,70970
42,18,111241,431005,460890,397880,406295,448315,191103,77328
43,18,111261,856503,1049369,684465,1008618,747216,624077,304266
44,19,111152,391960,400331,382404,390917,392706,197571,85189
45,19,111251,512078,566732,452215,465665,545231,218615,62742
46,19,111274,487603,519908,450240,459730,507512,230824,46637
47,19,111161,447125,475833,417342,424556,463246,191157,76263
48,18,111152,406029,414903,396272,405193,406310,213823,92123
49,19,111142,363969,379454,348148,372160,358118,202122,95696
