0,17,111261,7720,7,20,607,3130,3956
1,17,111231,5969,15,5,455,2304,3190
2,17,111273,5576,6,1,288,2274,3007
3,17,111251,5525,8,7,379,1979,3152
4,17,111201,5278,3,8,500,2094,2673
5,17,111212,5135,11,4,316,1888,2916
6,17,111221,4895,7,8,328,1725,2827
7,17,111262,4708,9,13,470,1812,2404
8,17,111141,4646,6,13,261,2220,2146
9,17,111151,4571,5,3,172,1533,2858
10,17,111274,4261,5,10,172,1645,2429
11,17,111311,4209,4,9,180,1538,2478
12,17,111121,4184,1,9,267,1846,2061
13,17,111131,4060,1,5,327,1346,2381
14,17,111123,4057,7,10,253,1644,2143
15,17,111152,3975,11,3,165,1547,2249
16,17,111181,3883,6,4,230,1387,2256
17,17,111301,3882,3,3,138,1590,2148
18,17,111161,3434,7,8,173,1344,1902
19,17,111291,3393,8,7,208,1014,2156
20,17,111241,3330,1,7,396,1226,1700
21,17,111281,3265,5,5,240,1141,1874
22,17,111191,3113,4,1,202,1230,1676
23,17,111142,2767,1,3,132,1072,1559
24,17,111171,1999,1,3,104,633,1258
25,18,111261,7513,10,14,600,3004,3885
26,18,111231,5840,17,8,391,2292,3132
27,18,111273,5807,5,6,309,2352,3135
28,18,111201,5172,6,6,473,2011,2676
29,18,111251,5026,9,10,352,2012,2643
30,18,111221,4810,8,9,250,1717,2826
31,18,111262,4726,5,5,470,1851,2395
32,18,111212,4629,11,6,269,1724,2619
33,18,111151,4288,4,3,174,1526,2581
34,18,111121,4030,2,11,207,1855,1955
35,18,111311,4007,5,5,194,1422,2381
36,18,111274,3919,3,7,170,1515,2224
37,18,111141,3915,7,2,229,1769,1908
38,18,111123,3690,6,3,236,1483,1962
39,18,111152,3680,2,5,145,1447,2081
40,18,111181,3590,8,1,188,1278,2115
41,18,111301,3515,2,4,120,1384,2005
42,18,111291,3437,8,7,188,1112,2122
43,18,111131,3411,1,3,331,1096,1980
44,18,111281,3293,6,7,200,1168,1912
45,18,111241,3100,3,7,288,1151,1651
46,18,111161,3042,7,1,183,1164,1687
47,18,111191,2802,5,3,206,1062,1526
48,18,111142,2457,2,5,126,999,1325
49,18,111171,2249,1,5,113,781,1349
50,19,111261,7304,5,5,666,2970,3658
51,19,111231,5820,10,3,356,2409,3042
52,19,111273,5698,7,10,273,2416,2992
53,19,111262,5542,5,7,616,2270,2644
54,19,111251,5328,13,10,408,2223,2674
55,19,111212,4924,8,3,306,2050,2557
56,19,111201,4842,2,2,495,2190,2153
57,19,111221,4707,10,3,226,1916,2552
58,19,111121,4327,2,6,195,2202,1922
59,19,111151,4268,10,4,138,1666,2450
60,19,111311,4153,4,3,184,1498,2464
61,19,111274,4014,6,15,180,1650,2163
62,19,111141,4011,4,6,273,1875,1853
63,19,111181,3880,3,1,194,1565,2117
64,19,111123,3846,4,7,238,1515,2082
65,19,111291,3838,6,3,176,1229,2424
66,19,111152,3692,6,10,168,1531,1977
67,19,111241,3400,4,1,251,1328,1816
68,19,111131,3313,3,3,272,999,2036
69,19,111301,3214,6,2,127,1477,1602
70,19,111281,3105,6,10,153,1157,1779
71,19,111191,2943,2,5,175,1226,1535
72,19,111161,2877,3,3,176,1082,1613
73,19,111142,2512,6,9,133,970,1394
74,19,111171,2110,1,5,90,790,1224
