경찰서,기간코드,경찰관수,지구대,파출소,치안센터,지역코드
서울중부경찰서,16,518,"","","",111121
서울종로경찰서,16,652,"","","",111123
서울남대문경찰서,16,501,"","","",111121
서울서대문경찰서,16,678,"","","",111191
서울혜화경찰서,16,483,"","","",111123
서울용산경찰서,16,714,"","","",111131
서울성북경찰서,16,539,"","","",111161
서울동대문경찰서,16,795,"","","",111152
서울마포경찰서,16,853,"","","",111201
서울영등포경찰서,16,964,"","","",111231
서울성동경찰서,16,656,"","","",111142
서울동작경찰서,16,672,"","","",111241
서울광진경찰서,16,679,"","","",111141
서울서부경찰서,16,407,"","","",111181
서울강북경찰서,16,670,"","","",111291
서울금천경찰서,16,563,"","","",111281
서울중랑경찰서,16,769,"","","",111151
서울강남경찰서,16,796,"","","",111261
서울관악경찰서,16,849,"","","",111251
서울강서경찰서,16,881,"","","",111212
서울강동경찰서,16,723,"","","",111274
서울종암경찰서,16,412,"","","",111161
서울구로경찰서,16,763,"","","",111221
서울서초경찰서,16,669,"","","",111262
서울양천경찰서,16,759,"","","",111301
서울송파경찰서,16,1020,"","","",111273
서울노원경찰서,16,798,"","","",111311
서울방배경찰서,16,372,"","","",111262
서울은평경찰서,16,483,"","","",111181
서울도봉경찰서,16,540,"","","",111171
서울수서경찰서,16,635,"","","",111261
서울중부경찰서,17,526,"","","",111121
서울종로경찰서,17,655,"","","",111123
서울남대문경찰서,17,503,"","","",111121
서울서대문경찰서,17,682,"","","",111191
서울혜화경찰서,17,485,"","","",111123
서울용산경찰서,17,711,"","","",111131
서울성북경찰서,17,557,"","","",111161
서울동대문경찰서,17,817,"","","",111152
서울마포경찰서,17,858,"","","",111201
서울영등포경찰서,17,971,"","","",111231
서울성동경찰서,17,651,"","","",111142
서울동작경찰서,17,670,"","","",111241
서울광진경찰서,17,697,"","","",111141
서울서부경찰서,17,410,"","","",111181
서울강북경찰서,17,667,"","","",111291
서울금천경찰서,17,580,"","","",111281
서울중랑경찰서,17,748,"","","",111151
서울강남경찰서,17,816,"","","",111261
서울관악경찰서,17,861,"","","",111251
서울강서경찰서,17,902,"","","",111212
서울강동경찰서,17,741,"","","",111274
서울종암경찰서,17,420,"","","",111161
서울구로경찰서,17,749,"","","",111221
서울서초경찰서,17,697,"","","",111262
서울양천경찰서,17,771,"","","",111301
서울송파경찰서,17,1026,"","","",111273
서울노원경찰서,17,811,"","","",111311
서울방배경찰서,17,374,"","","",111262
서울은평경찰서,17,507,"","","",111181
서울도봉경찰서,17,563,"","","",111171
서울수서경찰서,17,635,"","","",111261
서울중부경찰서,18,528,3,4,4,111121
서울종로경찰서,18,657,1,12,1,111123
서울남대문경찰서,18,512,0,7,0,111121
서울서대문경찰서,18,688,2,6,3,111191
서울혜화경찰서,18,493,0,8,1,111123
서울용산경찰서,18,701,2,6,4,111131
서울성북경찰서,18,550,3,3,8,111161
서울동대문경찰서,18,823,3,8,9,111152
서울마포경찰서,18,884,5,3,9,111201
서울영등포경찰서,18,980,7,3,5,111231
서울성동경찰서,18,651,3,6,6,111142
서울동작경찰서,18,678,6,1,10,111241
서울광진경찰서,18,712,2,8,2,111141
서울서부경찰서,18,428,2,2,4,111181
서울강북경찰서,18,672,2,7,5,111291
서울금천경찰서,18,583,2,3,7,111281
서울중랑경찰서,18,767,4,4,9,111151
서울강남경찰서,18,836,1,7,3,111261
서울관악경찰서,18,885,5,4,10,111251
서울강서경찰서,18,944,7,3,2,111212
서울강동경찰서,18,763,4,4,8,111274
서울종암경찰서,18,429,2,2,6,111161
서울구로경찰서,18,768,5,3,8,111221
서울서초경찰서,18,725,1,6,5,111262
서울양천경찰서,18,787,5,3,7,111301
서울송파경찰서,18,1042,5,5,10,111273
서울노원경찰서,18,833,6,2,10,111311
서울방배경찰서,18,377,1,3,3,111262
서울은평경찰서,18,517,2,3,7,111181
서울도봉경찰서,18,578,1,7,1,111171
서울수서경찰서,18,646,4,2,6,111261
서울중부경찰서,19,533,3,4,4,111121
서울종로경찰서,19,662,1,12,1,111123
서울남대문경찰서,19,507,0,7,0,111121
서울서대문경찰서,19,674,2,6,3,111191
서울혜화경찰서,19,493,0,8,1,111123
서울용산경찰서,19,712,3,4,5,111131
서울성북경찰서,19,544,3,3,8,111161
서울동대문경찰서,19,826,3,8,9,111152
서울마포경찰서,19,883,5,3,7,111201
서울영등포경찰서,19,990,7,3,5,111231
서울성동경찰서,19,642,3,6,6,111142
서울동작경찰서,19,674,6,1,10,111241
서울광진경찰서,19,724,2,8,2,111141
서울서부경찰서,19,417,2,2,4,111181
서울강북경찰서,19,671,2,7,5,111291
서울금천경찰서,19,575,2,3,7,111281
서울중랑경찰서,19,764,4,4,9,111151
서울강남경찰서,19,866,1,7,3,111261
서울관악경찰서,19,918,6,3,10,111251
서울강서경찰서,19,941,7,3,2,111212
서울강동경찰서,19,766,4,5,7,111274
서울종암경찰서,19,417,2,2,6,111161
서울구로경찰서,19,752,5,3,8,111221
서울서초경찰서,19,736,1,6,5,111262
서울양천경찰서,19,773,5,3,8,111301
서울송파경찰서,19,1063,5,5,10,111273
서울노원경찰서,19,809,6,2,9,111311
서울방배경찰서,19,379,1,3,3,111262
서울은평경찰서,19,508,2,3,7,111181
서울도봉경찰서,19,561,1,7,1,111171
서울수서경찰서,19,666,4,2,4,111261
